stack,rec,layer,concept_set,concept,method,n_proteins,pos_domains,pos_residues,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1,f1_lo,f1_hi,f1_se,f1_boot_mean,f1_bias,n_boot,boot_seed
pairformer,1,47,swissprot,glycosylation:n-linked_glcnac_asparagine,neuron,100,47,47,0.04762,0.0,0.16667,0.02128,0.0,0.08333,0.02941,0.0,0.10128,0.03023,0.03006,-0.00065,2000,0
pairformer,1,47,swissprot,glycosylation:n-linked_glcnac_asparagine,probe_raw,100,47,47,0.07522,0.035,0.12297,0.7234,0.53333,0.88571,0.13627,0.06599,0.21258,0.03753,0.13591,0.00036,2000,0
pairformer,1,47,swissprot,helix,sae,100,300,2847,0.17424,0.09709,0.25829,0.53,0.44332,0.61907,0.26226,0.16031,0.35436,0.05007,0.25961,0.00265,2000,0
pairformer,1,47,swissprot,helix,neuron,100,300,2847,0.19101,0.11116,0.27425,0.50667,0.41559,0.59814,0.27743,0.17775,0.36415,0.04774,0.27531,0.00213,2000,0
pairformer,1,47,swissprot,helix,probe_raw,100,300,2847,0.29469,0.14993,0.45546,0.55667,0.40224,0.70001,0.38537,0.22668,0.52363,0.07648,0.38207,0.0033,2000,0
pairformer,1,47,swissprot,modified_residue:phosphoserine,sae,100,25,26,0.04762,0.0,0.17647,0.04,0.0,0.13636,0.04348,0.0,0.13636,0.04133,0.04142,0.00206,2000,0
pairformer,1,47,swissprot,modified_residue:phosphoserine,neuron,100,25,26,0.0625,0.0,0.18182,0.04,0.0,0.125,0.04878,0.0,0.13793,0.04252,0.04695,0.00183,2000,0
pairformer,1,47,swissprot,modified_residue:phosphoserine,probe_raw,100,25,26,0.00664,0.0,0.01856,0.12,0.0,0.33333,0.01258,0.0,0.03466,0.00917,0.01271,-0.00013,2000,0
pairformer,1,47,swissprot,region:disordered,sae,100,73,3949,0.58084,0.4662,0.6758,0.90411,0.83634,0.96341,0.70729,0.61175,0.78141,0.04345,0.70367,0.00362,2000,0
pairformer,1,47,swissprot,region:disordered,neuron,100,73,3949,0.43105,0.33673,0.51032,0.9726,0.93103,1.0,0.59736,0.4982,0.67082,0.04373,0.59381,0.00355,2000,0
pairformer,1,47,swissprot,region:disordered,probe_raw,100,73,3949,0.79912,0.71252,0.87175,0.94521,0.8765,0.98837,0.86604,0.80307,0.91469,0.0281,0.86424,0.0018,2000,0
pairformer,1,47,swissprot,signal_peptide,sae,100,22,480,0.12632,0.04798,0.23077,0.40909,0.21053,0.625,0.19303,0.08156,0.3182,0.06153,0.19166,0.00137,2000,0
pairformer,1,47,swissprot,signal_peptide,neuron,100,22,480,0.28571,0.07692,0.53339,0.22727,0.05882,0.41667,0.25316,0.06447,0.43375,0.09454,0.25226,0.0009,2000,0
pairformer,1,47,swissprot,signal_peptide,probe_raw,100,22,480,0.65044,0.53249,0.76938,1.0,1.0,1.0,0.7882,0.69493,0.86966,0.04469,0.78596,0.00224,2000,0
pairformer,1,47,swissprot,turn,sae,100,82,281,0.05,0.00869,0.10436,0.04878,0.0098,0.10345,0.04938,0.01,0.09424,0.02269,0.0473,0.00209,2000,0
pairformer,1,47,swissprot,turn,neuron,100,82,281,0.05288,0.02525,0.08597,0.12195,0.06154,0.2,0.07378,0.03676,0.11251,0.01956,0.0739,-0.00013,2000,0
pairformer,1,47,swissprot,turn,probe_raw,100,82,281,0.04867,0.01139,0.09501,0.21951,0.07244,0.37707,0.07968,0.01937,0.14711,0.03371,0.07767,0.00201,2000,0
diffusion,199,22,secondary,secondary_structure:helix,sae,57,776,9725,0.68558,0.61214,0.75307,0.93041,0.91267,0.94654,0.78945,0.73809,0.83295,0.02405,0.789,0.00045,2000,0
